total_tokens,esg_signal_count,g_signal_count,bp_count,esg_signal_ratio,g_signal_ratio,bp_contamination_rate,esg_g_relative,stock_code,fiscal_year,rcept_no,n_tokens,esg_tfidf_concentration
2598,8,83,0,0.0031,0.0319,0.0,1.0,003240,2022,20230323001281,2595,0.0224
2813,10,95,0,0.0036,0.0338,0.0,1.0,003240,2023,20240329003575,2810,0.0364
2678,9,91,0,0.0034,0.034,0.0,1.0,003240,2024,20250320001386,2676,0.0357
1505,3,29,0,0.002,0.0193,0.0,1.0,003280,2022,20230320001057,1505,0.006
1418,2,25,0,0.0014,0.0176,0.0,1.0,003280,2023,20240320001803,1418,0.0
1542,4,33,0,0.0026,0.0214,0.0,1.0,003280,2024,20250317000787,1542,0.0133
6730,78,153,0,0.0116,0.0227,0.0,1.0,003670,2022,20230317000751,6723,0.025
5360,53,152,0,0.0099,0.0284,0.0,1.0,003670,2023,20240326000383,5355,0.0314
4375,46,149,0,0.0105,0.0341,0.0,1.0,003670,2024,20250314000603,4372,0.0391
1420,7,60,0,0.0049,0.0423,0.0,1.0,003920,2022,20230323001233,1420,0.0633
1388,7,60,0,0.005,0.0432,0.0,1.0,003920,2023,20240321001747,1388,0.0633
1374,6,57,0,0.0044,0.0415,0.0,1.0,003920,2024,20250320001030,1374,0.066
4154,30,104,0,0.0072,0.025,0.0,1.0,004370,2022,20230316000448,4152,0.0296
3719,23,105,0,0.0062,0.0282,0.0,1.0,004370,2023,20240314000698,3717,0.0332
3754,24,109,0,0.0064,0.029,0.0,1.0,004370,2024,20250312000711,3752,0.0343
1718,7,45,0,0.0041,0.0262,0.0,1.0,004540,2022,20230316000673,1718,0.0302
1677,2,43,0,0.0012,0.0256,0.0,1.0,004540,2023,20240321001282,1677,0.0301
2497,60,48,0,0.024,0.0192,0.0,1.0,004540,2024,20250320000849,2497,0.0472
3713,59,63,0,0.0159,0.017,0.0,1.0,005090,2022,20230309000859,3713,0.0246
3444,61,68,0,0.0177,0.0197,0.0,1.0,005090,2023,20240313001769,3444,0.0287
3593,66,60,0,0.0184,0.0167,0.0,1.0,005090,2024,20250312001090,3593,0.026
3264,2,141,0,0.0006,0.0432,0.0,1.0,005290,2022,20230316001000,3264,0.0669
2995,2,150,0,0.0007,0.0501,0.0,1.0,005290,2023,20240314001382,2995,0.0755
3031,2,159,0,0.0007,0.0525,0.0,1.0,005290,2024,20250319000732,3031,0.0781
9388,77,205,0,0.0082,0.0218,0.0,1.0,005380,2022,20230315001030,9387,0.0262
9388,77,205,0,0.0082,0.0218,0.0,1.0,005380,2023,20240314001531,9387,0.0262
8865,99,218,0,0.0112,0.0246,0.0,1.0,005380,2024,20250312001148,8859,0.0457
27409,379,198,0,0.0138,0.0072,0.0,1.0,005490,2022,20230309000896,27402,0.0
26940,435,180,0,0.0161,0.0067,0.0,1.0,005490,2023,20240322000986,26933,0.0129
25657,398,190,0,0.0155,0.0074,0.0,1.0,005490,2024,20250312001016,25653,0.0135
1998,10,67,0,0.005,0.0335,0.0,1.0,005500,2022,20230316001264,1998,0.0498
