stock_code,fiscal_year,section_chars_II,section_chars_IV,section_chars_VI,total_chars,rcept_no
051500,2022,8068,5936,2164,16172,20230317000800
051500,2023,8595,5583,2157,16339,20240320001012
051500,2024,8315,5120,2294,15733,20250320000745
051910,2022,25642,9727,3388,38761,20230324001178
051910,2023,25461,10312,3325,39102,20240315000957
051910,2024,25356,10868,3209,39437,20250314000996
055550,2022,58471,45380,3927,107782,20230315001015
055550,2023,60022,47805,3216,111047,20240502000081
055550,2024,57084,47642,3327,108057,20250318000993
057050,2022,22371,6084,3766,32225,20230315001376
057050,2023,42644,6995,4377,54020,20240315000790
057050,2024,44829,9102,4717,58652,20250317000550
064350,2022,22822,4448,3313,30587,20230310001083
064350,2023,22974,4470,3200,30648,20240320000873
064350,2024,25270,4703,3152,33129,20250318000847
068270,2022,29627,10587,2800,43018,20230320000842
068270,2023,33115,11104,2818,47041,20240318000913
068270,2024,31497,12381,2521,46403,20250317000929
086790,2022,54496,28120,3276,85896,20230316001364
086790,2023,57624,27352,3753,88733,20240516001695
086790,2024,59825,26478,3877,90184,20250317000894
096770,2022,46221,49512,4561,100298,20230322000906
096770,2023,47363,60055,4759,112181,20240320000950
096770,2024,67583,57585,5202,130374,20250318000862
097950,2022,24269,9845,3417,37535,20230417000204
097950,2023,26519,22387,4894,53804,20240319000861
097950,2024,24893,20080,3848,48825,20250317000648
105560,2022,72328,34307,5723,112362,20230324001073
105560,2023,67613,31046,6677,105340,20240326000894
105560,2024,71942,32494,6589,111029,20250314001704
138930,2022,37233,30831,7493,75561,20230309000759
138930,2023,36900,33418,6820,77142,20240314001564
138930,2024,26847,31199,4957,63007,20250318001176
282330,2022,11732,10900,3686,26322,20230320000886
282330,2023,12079,10579,3900,26562,20240313001437
282330,2024,18952,10853,3334,33143,20250318000733
316140,2022,52655,39861,5236,97756,20230316001455
316140,2023,57741,43005,5382,106132,20240314001383
316140,2024,59604,40909,5177,105694,20250318001196
