stock_code,fiscal_year,esg_year,company_name,industry,esg_grade,e_grade,s_grade,g_grade,universe,in_corp_code,in_collected_reports,in_sections_extracted,in_firm_year_documents,in_features_expF,in_merged_expF,status,sub_status,reason,source_pipeline,recovery_method,rcept_no,total_tokens,esg_signal_count,g_signal_count,esg_signal_ratio,g_signal_ratio,esg_tfidf_concentration,esg_g_relative,bp_contamination_rate,kcgs_grade,kcgs_grade_7,kcgs_grade_4
002380,2023,2024,케이씨씨,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20240327001177.0,4138.0,48.0,190.0,0.0116,0.0459,0.0724,1.0,0.0,A,5.0,3.0
002790,2021,2022,아모레퍼시픽홀딩스,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20220316000873.0,2789.0,45.0,267.0,0.0161,0.0957,0.1177,1.0,0.0,A,5.0,3.0
003240,2021,2022,태광산업,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20220317001199.0,1048.0,6.0,177.0,0.0057,0.1689,0.1669,1.0,0.0,B+,4.0,2.0
003490,2021,2022,대한항공,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20220315001120.0,5786.0,107.0,269.0,0.0185,0.0465,0.1158,1.0,0.0,A,5.0,3.0
003490,2022,2023,대한항공,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20230314000740.0,6589.0,114.0,221.0,0.0173,0.0335,0.0739,1.0,0.0,A,5.0,3.0
003490,2023,2024,대한항공,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20240313001650.0,5584.0,74.0,211.0,0.0133,0.0378,0.071,1.0,0.0,A,5.0,3.0
003550,2021,2022,LG,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20220321001237.0,21868.0,188.0,330.0,0.0086,0.0151,0.0066,1.0,0.0,A,5.0,3.0
003550,2022,2023,LG,,,,,,user_native_extension,True,True,True,False,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,,,,,,,,,,,,
003550,2023,2024,LG,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20240319000703.0,2853.0,51.0,197.0,0.0179,0.0691,0.1041,1.0,0.0,A,5.0,3.0
003670,2021,2022,포스코퓨처엠,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20220311001089.0,1930.0,15.0,214.0,0.0078,0.1109,0.1198,1.0,0.0,A,5.0,3.0
004020,2021,2022,현대제철,,,,,,user_native_extension,True,True,True,True,False,False,EXTENSION_USER_NATIVE,,collected by user pipeline but outside Hyesung 381 universe,jiwoo_native_extension,none_needed_extension,20220315000651.0,4761.0,139.0,230.0,0.0292,0.0483,0.0792,1.0,0.0,B+,4.0,2.0
